lead_type,owner_name,address,city,state,zip,mailing_address,mailing_city,mailing_state,mailing_zip,county,case_number,filing_date,assessed_value,tax_year,lender,loan_amount,sale_date,sale_amount,description,source_url,status
pre-foreclosure,James Mitchell,1247 Ocean Boulevard,Myrtle Beach,SC,29577,1247 Ocean Boulevard,Myrtle Beach,SC,29577,Horry,2024-CV-12547,2024-03-15,285000,2023,First National Bank,210000,2024-06-01,195000,Lis Pendens filed for property foreclosure,https://www.horrycountygov.com/court,new
tax-delinquent,Sarah Johnson,3456 Highway 17 Business,North Myrtle Beach,SC,29582,P.O. Box 456,Wilmington,NC,28401,Horry,TAX-2024-08934,2024-02-28,145000,2023,N/A,N/A,N/A,N/A,Property has unpaid property taxes for 2023,https://www.horrycountygov.com/tax,new
probate,Robert Chen Estate,2891 Barefoot Landing Road,North Myrtle Beach,SC,29582,2891 Barefoot Landing Road,North Myrtle Beach,SC,29582,Horry,2024-ES-03421,2024-04-10,425000,2024,N/A,N/A,N/A,N/A,Estate probate filing - property in probate,https://www.horrycountygov.com/court,new
sheriff-sale,Michael Torres,567 Barefoot Landing,North Myrtle Beach,SC,29582,567 Barefoot Landing,North Myrtle Beach,SC,29582,Horry,SHERIFF-2024-1123,2024-05-20,195000,2024,Coastal Bank,145000,2024-07-15,120000,Property scheduled for sheriff sale,https://www.horrycountygov.com/sheriff,new
lis-pendens,Patricia Williams,4123 Kings Road,Myrtle Beach,SC,29577,4123 Kings Road,Myrtle Beach,SC,29577,Horry,2024-CV-12891,2024-03-05,310000,2023,Palmetto Mortgage,225000,N/A,N/A,Lis Pendens - legal action filed,https://www.horrycountygov.com/court,new
code-violation,David Anderson,789 North Kings Highway,Myrtle Beach,SC,29577,789 North Kings Highway,Myrtle Beach,SC,29577,Horry,CODE-2024-5678,2024-04-12,185000,2023,N/A,N/A,N/A,N/A,Multiple code violations - building department,https://www.horrycountygov.com/building,new
fire-damage,Jennifer Lee,2145 Barefoot Landing Road,North Myrtle Beach,SC,29582,2145 Barefoot Landing Road,North Myrtle Beach,SC,29582,Horry,FIRE-2024-0234,2024-05-08,275000,2024,State Farm Insurance,N/A,N/A,N/A,Property damaged in fire - March 2024,https://www.horrycountygov.com/fire,new
water-shutoff,Thomas Brown,3567 Highway 17,Surfside Beach,SC,29575,3567 Highway 17,Surfside Beach,SC,29575,Horry,UTILITY-2024-4456,2024-04-30,165000,2023,N/A,N/A,N/A,N/A,Water service shut off for non-payment,https://www.horrycountygov.com/utilities,new
fsbo,Amanda Davis,1823 Barefoot Landing,North Myrtle Beach,SC,29582,1823 Barefoot Landing,North Myrtle Beach,SC,29582,Horry,CRAIGSLIST-2024-0891,2024-05-15,225000,2024,N/A,N/A,N/A,195000,For Sale By Owner listing - Craigslist,https://charleston.craigslist.org/search/apa,new
eviction,Christopher Martinez,4567 Barefoot Landing Road,North Myrtle Beach,SC,29582,4567 Barefoot Landing Road,North Myrtle Beach,SC,29582,Horry,2024-CV-13234,2024-05-25,155000,2023,N/A,N/A,N/A,N/A,Eviction notice filed,https://www.horrycountygov.com/court,new
